#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:27:40Z,926.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:27:50Z,936.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:28:00Z,946.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:28:10Z,956.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:28:20Z,966.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:28:30Z,976.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:28:40Z,986.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:28:50Z,996.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:29:00Z,1006.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:29:10Z,1016.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:29:20Z,1026.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:29:30Z,1036.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:29:40Z,1046.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:29:50Z,1056.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
